year,country_label,age,age_range,gender,no_employees,family_history,benefits,care_options,wellness_program,seek_help,anonymity,supervisor,leave,coworkers,mental_health_interview,phys_health_interview,treatment
2014,1,29,1,0,3,2,3,3,1,1,1,1,2,1,0,0,1
2014,1,46,2,0,2,1,3,3,1,1,0,2,0,1,0,1,1
2014,1,41,2,0,5,1,0,2,1,0,0,0,0,0,0,2,1
2014,1,33,2,0,2,2,3,1,0,2,2,2,0,2,0,2,1
2014,1,35,2,0,5,2,3,3,1,0,1,2,5,1,0,2,1
2014,1,33,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2014,1,35,2,1,1,2,3,3,0,0,0,2,0,2,1,1,1
2014,1,34,2,0,2,1,0,1,1,0,0,0,2,1,0,0,1
2014,0,37,2,0,1,1,2,2,1,1,0,0,1,1,0,1,0
2014,0,32,2,0,1,1,2,2,1,1,0,1,0,1,0,1,0
2014,0,30,1,0,4,2,0,2,1,1,2,2,4,1,0,2,1
2014,1,42,2,0,2,2,3,3,2,2,2,1,5,1,1,2,1
2014,1,40,2,1,0,1,3,3,1,1,0,0,0,1,0,1,1
2014,1,27,1,0,1,1,2,3,1,1,0,2,5,2,1,1,1
2014,0,29,1,0,0,1,2,2,1,1,0,0,5,1,0,0,0
2014,0,38,2,0,3,1,2,3,1,1,0,1,4,1,0,1,0
2014,1,50,2,0,3,1,3,3,1,0,0,2,0,1,0,1,0
2014,1,35,2,0,5,1,3,3,1,2,2,2,5,2,1,1,1
2014,0,24,1,0,1,1,2,2,1,1,0,0,0,1,0,2,1
2014,1,35,2,0,5,1,3,1,0,2,0,0,2,1,0,1,0
2014,0,27,1,0,0,2,2,3,1,1,2,0,1,1,0,0,1
2014,0,18,0,0,1,1,2,1,1,1,0,1,2,0,0,0,0
2014,1,30,1,0,2,1,0,2,1,1,0,0,0,0,0,1,1
2014,1,38,2,1,2,2,3,3,1,2,2,2,4,1,0,0,1
2014,0,28,1,0,2,1,0,1,1,1,0,2,0,1,1,2,0
2014,1,34,2,0,1,1,2,2,1,1,0,2,0,2,1,2,0
2014,1,30,1,0,2,2,3,2,1,0,0,2,0,1,0,0,1
2014,1,22,1,0,1,2,2,3,1,1,2,0,1,0,0,1,1
2014,1,33,2,0,3,1,0,1,0,0,0,2,0,1,1,1,0
2014,1,31,2,0,3,1,0,2,0,0,0,1,0,1,1,1,0
2014,1,32,2,0,0,1,0,1,1,1,0,2,0,1,0,0,0
2014,0,28,1,0,3,1,2,2,1,1,0,0,0,0,0,1,0
2014,1,27,1,2,2,2,3,3,1,1,2,0,0,0,0,0,1
2014,1,32,2,0,1,2,0,2,1,1,0,2,4,2,0,0,0
2014,1,24,1,0,2,2,0,2,1,1,0,2,0,1,2,2,1
2014,1,26,1,0,2,1,2,2,1,1,2,2,4,1,1,2,0
2014,0,33,2,0,1,2,0,2,1,1,1,0,2,0,0,1,1
2014,1,44,2,0,5,2,3,2,1,0,0,0,0,1,0,1,1
2014,0,26,1,1,2,1,0,1,2,2,2,2,5,2,1,2,1
2014,0,27,1,0,3,1,3,1,1,2,0,2,4,2,1,1,0
2014,0,26,1,0,2,1,2,2,1,1,0,0,5,0,0,0,0
2014,0,35,2,0,1,1,0,2,1,1,0,2,4,1,0,1,0
2014,1,40,2,0,5,2,3,3,2,2,0,0,0,1,0,0,0
2014,0,23,1,1,0,2,2,1,1,1,0,2,5,1,0,1,1
2014,1,36,2,0,3,1,3,2,0,2,0,1,0,1,1,2,0
2014,1,31,2,1,2,1,0,2,0,0,0,0,0,1,0,1,0
2014,0,28,1,0,2,1,2,2,1,1,0,1,0,1,0,0,0
2014,0,34,2,0,1,1,0,1,0,0,0,2,4,1,0,0,0
2014,1,23,1,2,5,1,3,3,1,1,2,2,2,2,0,0,0
2014,0,38,2,0,2,1,2,2,1,0,2,2,4,1,1,2,0
2014,1,33,2,0,5,1,0,1,2,0,0,1,0,1,0,1,0
2014,0,19,0,0,0,1,2,3,1,1,1,0,2,0,0,1,0
2014,1,25,1,0,5,1,3,3,2,2,0,2,0,2,1,2,0
2014,1,32,2,0,2,2,2,2,1,1,0,0,2,1,0,2,1
2014,0,28,1,0,1,1,0,2,0,0,0,1,5,1,1,2,0
2014,1,38,2,0,3,2,3,3,1,2,0,1,0,2,1,1,0
2014,0,23,1,0,2,1,3,1,2,0,0,2,5,1,1,1,0
2014,0,30,1,0,2,1,2,2,1,1,0,2,0,1,0,0,0
2014,1,33,2,0,5,2,2,2,1,1,0,0,0,0,0,1,0
2014,1,31,2,0,2,1,0,1,1,1,0,2,0,1,1,1,0
2014,1,34,2,1,4,2,3,1,1,0,0,1,0,1,0,0,1
2014,1,29,1,1,2,1,3,3,1,1,0,1,0,1,0,1,1
2014,1,32,2,0,4,1,0,2,1,0,0,1,0,1,0,0,0
2014,1,31,2,0,4,1,3,3,2,2,2,2,4,1,0,0,0
2014,1,40,2,0,2,1,2,3,1,1,2,2,1,2,2,2,1
2014,1,34,2,0,2,1,0,2,1,1,0,0,4,1,0,1,0
